Name,Module,Release No,Dependencies,Description,Supported,From field: Dependencies,Created
boxfusion.content-1.6.7,boxfusion.content,1.6.7,"Shesha.Enterprise-5.0.13,Shesha.Core-0.43.25",Updated to Shesha 0.43.25,,,2026-02-13 9:56am
boxfusion.content-1.6.6,boxfusion.content,1.6.6,"Shesha.Core-0.43.24,Shesha.Enterprise-5.0.13",Updated to Shesha 0.43.24,,,2026-02-13 9:26am
boxfusion.devexpressreporting-2.6.20,boxfusion.devexpressreporting,2.6.20,Shesha.Core-0.43.33,Updated to Shesha 0.43.33,,BoxStack-43,2026-05-07 2:12pm
boxfusion.devexpressreporting-2.6.19,boxfusion.devexpressreporting,2.6.19,Shesha.Core-0.43.32,Updated to Shesha 0.43.32,,BoxStack-42,2026-04-30 4:27pm
boxfusion.devexpressreporting-2.6.18,boxfusion.devexpressreporting,2.6.18,Shesha.Core-0.43.31,Updated to Shesha 0.43.31,,BoxStack-41,2026-04-23 4:53pm
boxfusion.devexpressreporting-2.6.17,boxfusion.devexpressreporting,2.6.17,Shesha.Core-0.43.30,Updated to Shesha 0.43.30,,BoxStack-40,2026-04-20 10:47am
boxfusion.devexpressreporting-2.6.16,boxfusion.devexpressreporting,2.6.16,Shesha.Core-0.43.28,Updated to Shesha 0.43.28,,BoxStack-39,2026-04-06 2:43pm
boxfusion.devexpressreporting-2.6.15,boxfusion.devexpressreporting,2.6.15,Shesha.Core-0.43.27,Updated to Shesha 0.43.27,,BoxStack-38,2026-03-02 10:25am
boxfusion.devexpressreporting-2.6.14,boxfusion.devexpressreporting,2.6.14,Shesha.Core-0.43.25,Updated to Shesha 0.43.25,,BoxStack-37,2026-02-10 4:42pm
boxfusion.devexpressreporting-2.6.13,boxfusion.devexpressreporting,2.6.13,Shesha.Core-0.43.24,Updated to Shesha 0.43.24,,BoxStack-36,2026-01-16 3:46pm
boxfusion.devexpressreporting-2.6.12,boxfusion.devexpressreporting,2.6.12,Shesha.Core-0.43.23,Updated to Shesha 0.43.23,,BoxStack-35,2026-01-14 9:52am
boxfusion.devexpressreporting-2.6.11,boxfusion.devexpressreporting,2.6.11,Shesha.Core-0.43.21,Updated to Shesha 0.43.21,,BoxStack-34,2025-12-18 9:32am
boxfusion.devexpressreporting-2.6.10,boxfusion.devexpressreporting,2.6.10,Shesha.Core-0.43.19,Updated to Shesha 0.43.19,,BoxStack-33,2025-12-10 10:40am
boxfusion.devexpressreporting-2.6.9,boxfusion.devexpressreporting,2.6.9,Shesha.Core-0.43.18,Updated to Shesha 0.43.18,,BoxStack-32,2025-12-08 8:46am
boxfusion.devexpressreporting-2.6.8,boxfusion.devexpressreporting,2.6.8,Shesha.Core-0.43.17,Updated to Shesha 0.43.17,,BoxStack-29,2025-11-13 8:43am
boxfusion.devexpressreporting-2.6.7,boxfusion.devexpressreporting,2.6.7,Shesha.Core-0.43.16,Updated to Shesha 0.43.16,,BoxStack-28,2025-11-05 2:47pm
boxfusion.devexpressreporting-2.6.6,boxfusion.devexpressreporting,2.6.6,,Updated to Shesha 0.43.15,,BoxStack-27,2025-10-17 9:19am
boxfusion.devexpressreporting-2.6.5,boxfusion.devexpressreporting,2.6.5,,Updated to Shesha 0.43.14,,BoxStack-26,2025-10-17 9:19am
